Date,Predictions
2010-12-08 11:00:00+00:00,[1392.8505]
2010-12-08 12:00:00+00:00,[1406.6179]
2010-12-08 13:00:00+00:00,[1406.6292]
2010-12-08 14:00:00+00:00,[1384.9231]
2010-12-08 15:00:00+00:00,[1412.0236]
2010-12-08 16:00:00+00:00,[1443.0187]
2010-12-08 17:00:00+00:00,[1466.7341]
2010-12-08 18:00:00+00:00,[1482.6226]
2010-12-08 19:00:00+00:00,[1424.6089]
2010-12-08 20:00:00+00:00,[1201.423]
2010-12-08 21:00:00+00:00,[1120.2021]
2010-12-08 22:00:00+00:00,[1037.7053]
2010-12-08 23:00:00+00:00,[1021.61584]
2010-12-08 00:00:00+00:00,[1000.29974]
2010-12-09 01:00:00+00:00,[995.2035]
2010-12-09 02:00:00+00:00,[998.294]
2010-12-09 03:00:00+00:00,[1007.0151]
2010-12-09 04:00:00+00:00,[1025.7532]
2010-12-09 05:00:00+00:00,[1045.6674]
2010-12-09 06:00:00+00:00,[1115.4376]
2010-12-09 07:00:00+00:00,[1205.1919]
2010-12-09 08:00:00+00:00,[1379.2828]
2010-12-09 09:00:00+00:00,[1430.8774]
2010-12-09 10:00:00+00:00,[1463.4095]
2010-12-09 11:00:00+00:00,[1491.0625]
2010-12-09 12:00:00+00:00,[1504.9261]
2010-12-09 13:00:00+00:00,[1512.2389]
2010-12-09 14:00:00+00:00,[1504.701]
2010-12-09 15:00:00+00:00,[1537.3861]
2010-12-09 16:00:00+00:00,[1545.2472]
2010-12-09 17:00:00+00:00,[1535.1267]
2010-12-09 18:00:00+00:00,[1440.3126]
2010-12-09 19:00:00+00:00,[1362.613]
2010-12-09 20:00:00+00:00,[1206.7102]
2010-12-09 21:00:00+00:00,[1156.7518]
2010-12-09 22:00:00+00:00,[1082.6505]
2010-12-09 23:00:00+00:00,[1044.5039]
2010-12-09 00:00:00+00:00,[1004.91943]
2010-12-10 01:00:00+00:00,[998.9366]
2010-12-10 02:00:00+00:00,[994.97363]
2010-12-10 03:00:00+00:00,[988.4209]
2010-12-10 04:00:00+00:00,[992.43964]
2010-12-10 05:00:00+00:00,[1006.8492]
2010-12-10 06:00:00+00:00,[1045.1416]
2010-12-10 07:00:00+00:00,[1102.7244]
2010-12-10 08:00:00+00:00,[1171.4364]
2010-12-10 09:00:00+00:00,[1213.4249]
2010-12-10 10:00:00+00:00,[1226.2797]
2010-12-10 11:00:00+00:00,[1300.7805]
2010-12-10 12:00:00+00:00,[1325.5979]
2010-12-10 13:00:00+00:00,[1300.9869]
2010-12-10 14:00:00+00:00,[1262.7657]
2010-12-10 15:00:00+00:00,[1256.9187]
2010-12-10 16:00:00+00:00,[1272.6731]
2010-12-10 17:00:00+00:00,[1238.4569]
2010-12-10 18:00:00+00:00,[1248.4548]
2010-12-10 19:00:00+00:00,[1187.1963]
2010-12-10 20:00:00+00:00,[1115.135]
2010-12-10 21:00:00+00:00,[1062.5243]
2010-12-10 22:00:00+00:00,[972.2264]
2010-12-10 23:00:00+00:00,[959.7074]
2010-12-10 00:00:00+00:00,[951.21124]
2010-12-11 01:00:00+00:00,[952.9334]
2010-12-11 02:00:00+00:00,[962.497]
2010-12-11 03:00:00+00:00,[983.7216]
2010-12-11 04:00:00+00:00,[1002.9018]
