datetime,temperature,Global_active_power
2010-01-09-21-00,13.56,1094.121247
2010-01-09-22-00,12.72,1059.907259
2010-01-09-23-00,12.00,1000.978492
2010-01-09-00-00,11.28,994.9076394
2010-01-10-01-00,10.67,979.7874623
2010-01-10-02-00,10.17,981.5186154
2010-01-10-03-00,9.61,979.6405529
2010-01-10-04-00,9.22,977.0083696
2010-01-10-05-00,8.83,1067.971878
2010-01-10-06-00,8.61,1067.380691
2010-01-10-07-00,8.39,1292.643624
2010-01-10-08-00,8.50,1405.156478
2010-01-10-09-00,10.11,1439.461314
2010-01-10-10-00,12.28,1478.049029
2010-01-10-11-00,14.33,1486.863526
2010-01-10-12-00,15.94,1469.969336
2010-01-10-13-00,17.17,1418.509978
2010-01-10-14-00,18.11,1440.940853
2010-01-10-15-00,18.78,1438.500846
2010-01-10-16-00,18.94,1431.328871
2010-01-10-17-00,18.56,1439.141971
2010-01-10-18-00,17.11,1482.764502
2010-01-10-19-00,15.67,1235.588904
2010-01-10-20-00,14.44,1236.107308
2010-01-10-21-00,13.56,1098.35085
2010-01-10-22-00,12.72,1057.239917
2010-01-10-23-00,12.00,1005.659972
2010-01-10-00-00,11.28,1026.241735
2010-01-11-01-00,10.61,995.6510208
2010-01-11-02-00,10.06,1003.364931
2010-01-11-03-00,9.56,994.4889863
2010-01-11-04-00,9.11,995.2184698
2010-01-11-05-00,8.78,1087.01463
2010-01-11-06-00,8.56,1081.675069
2010-01-11-07-00,8.33,1307.977913
2010-01-11-08-00,8.39,1426.200404
2010-01-11-09-00,10.06,1471.379325
2010-01-11-10-00,12.22,1501.253595
2010-01-11-11-00,14.28,1493.110601
2010-01-11-12-00,15.94,1475.630083
2010-01-11-13-00,17.17,1430.202423
2010-01-11-14-00,18.11,1470.267913
2010-01-11-15-00,18.78,1463.400398
2010-01-11-16-00,18.94,1462.00313
2010-01-11-17-00,18.61,1467.255634
2010-01-11-18-00,17.17,1475.944174
2010-01-11-19-00,15.67,1238.357055
2010-01-11-20-00,14.44,1246.652987
2010-01-11-21-00,13.56,1126.299661
2010-01-11-22-00,12.72,1083.743675
2010-01-11-23-00,12.00,1001.898062
2010-01-11-00-00,11.28,992.7582064
2010-01-12-01-00,10.56,980.5557738
2010-01-12-02-00,10.06,985.6651495
2010-01-12-03-00,9.56,989.4395131
2010-01-12-04-00,9.11,995.3277477
2010-01-12-05-00,8.72,1072.263635
2010-01-12-06-00,8.50,996.4265617
2010-01-12-07-00,8.28,1253.772931
2010-01-12-08-00,8.39,1363.089248
2010-01-12-09-00,10.06,1425.588946
2010-01-12-10-00,12.22,1483.319238
2010-01-12-11-00,14.33,1504.981349
2010-01-12-12-00,15.94,1493.044088
2010-01-12-13-00,17.17,1445.120447
2010-01-12-14-00,18.17,1471.742846
2010-01-12-15-00,18.83,1469.857883
2010-01-12-16-00,19.00,1475.975642
2010-01-12-17-00,18.61,1476.239286
2010-01-12-18-00,17.17,1481.795378
2010-01-12-19-00,15.72,1241.965392
2010-01-12-20-00,14.44,1247.437162
2010-01-12-21-00,13.56,1119.51343
2010-01-12-22-00,12.72,1083.388809
2010-01-12-23-00,12.00,1013.214783
2010-01-12-00-00,11.22,1005.447088
2010-01-13-01-00,10.56,993.7020932
2010-01-13-02-00,10.00,948.1856515
2010-01-13-03-00,9.50,907.2908531
2010-01-13-04-00,9.06,913.8098801
2010-01-13-05-00,8.72,999.4285666
2010-01-13-06-00,8.44,998.8257501
2010-01-13-07-00,8.22,1221.23875
2010-01-13-08-00,8.28,1331.158396
